2942,Wuhan-Guanggu,China,45
3617,Xiamen-Lanshi,China,45
2949,Shanghai-Liancheng-Zobon,China,45
2541,Sichuan-Guancheng,China,45
445,Odds-Ballklubb,Norway,165
351,Rosenborg,Norway,165
446,Brann,Norway,165
440,Lillestroem,Norway,165
538,Sandefjord,Norway,165
1645,Sarpsborg-08,Norway,165
429,Stabaek,Norway,165
1131,Aalesund,Norway,165
438,FK-Haugesund,Norway,165
441,Molde,Norway,165
534,Sogndal,Norway,165
540,Stroemsgodset,Norway,165
443,Tromsoe,Norway,165
442,Vaalerenga,Norway,165
3076,Kristiansund-BK,Norway,165
447,Viking,Norway,165
439,Bodoe/Glimt,Norway,165
437,Start,Norway,165
3128,Mjoendalen,Norway,165
2548,Sandnes,Norway,165
1148,Hoenefoss,Norway,165
1585,Fredrikstad,Norway,165
536,Kongsvinger,Norway,165
527,Lyn,Norway,165
533,Hamarkameratene,Norway,165
436,Bryne,Norway,165
444,Moss,Norway,165
435,IFK-Norrkoeping,Sweden,212
493,Malmoe-FF,Sweden,212
453,AIK,Sweden,212
488,Kalmar-FF,Sweden,212
434,Oerebro,Sweden,212
2517,Oestersunds-FK,Sweden,212
2509,Sirius,Sweden,212
479,Djurgaarden,Sweden,212
452,Elfsborg,Sweden,212
450,Haecken,Sweden,212
451,IFK-Gothenburg,Sweden,212
2491,Joenkoepings-Soedra,Sweden,212
1556,AFC-Eskilstuna,Sweden,212
449,GIF-Sundsvall,Sweden,212
433,Halmstads-BK,Sweden,212
448,Hammarby,Sweden,212
459,Gefle,Sweden,212
428,Helsingborg,Sweden,212
2067,Falkenbergs-FF,Sweden,212
457,Aatvidaberg,Sweden,212
489,Mjaellby,Sweden,212
456,Brommapojkarna,Sweden,212
492,Oesters-IF,Sweden,212
1548,Syrianska,Sweden,212
430,GAIS,Sweden,212
432,Trelleborgs-FF,Sweden,212
427,Oergryte-FF,Sweden,212
490,Ljungskile,Sweden,212
483,Landskrona-BoIS,Sweden,212
481,Assyriska-FF,Sweden,212
487,Enkoeping,Sweden,212
431,Vaestra-Froelunda,Sweden,212
3882,Sandhausen,Germany,81
796,Union-Berlin,Germany,81
1731,Dynamo-Dresden,Germany,81
4852,FC-Heidenheim,Germany,81
1206,Holstein-Kiel,Germany,81
1143,Jahn-Regensburg,Germany,81
813,Erzgebirge-Aue,Germany,81
5634,Wuerzburger-Kickers,Germany,81
4676,FSV-Frankfurt,Germany,81
1140,Aalen,Germany,81
111,Oberhausen,Germany,81
757,Osnabrueck,Germany,81
2601,Koblenz,Germany,81
747,RW-Ahlen,Germany,81
800,Wehen,Germany,81
1141,Carl-Zeiss-Jena,Germany,81
218,Kickers-Offenbach,Germany,81
1135,Burghausen,Germany,81
1145,RW-Essen,Germany,81
746,Saarbruecken,Germany,81
1137,Sportfreunde-Siegen,Germany,81
1142,Eintracht-Trier,Germany,81
790,RW-Erfurt,Germany,81
807,Luebeck,Germany,81
756,Reutlingen,Germany,81
136,Waldhof-Mannheim,Germany,81
797,Babelsberg,Germany,81
1136,FC-Schweinfurt,Germany,81
138,Stuttgarter-Kickers,Germany,81
135,Chemnitzer-FC,Germany,81
285,Fortuna-Koeln,Germany,81
284,TeBe-Berlin,Germany,81
4186,Toronto-FC,Canada,39
26666,Atlanta-United,USA,233
1118,Chicago-Fire,USA,233
11135,Montreal-Impact,Canada,39
19584,New-York-City-FC,USA,233
1121,New-York-Red-Bulls,USA,233
10221,Orlando-City,USA,233
8586,Philadelphia-Union,USA,233
1113,Columbus-Crew,USA,233
1119,DC-United,USA,233
1114,New-England-Rev.,USA,233
1120,Colorado-Rapids,USA,233
2948,FC-Dallas,USA,233
1117,LA-Galaxy,USA,233
11133,Portland-Timbers,USA,233
5973,Seattle-Sounders-FC,USA,233
3624,Houston-Dynamo,USA,233
2947,Real-Salt-Lake,USA,233
1122,San-Jose-Earthquakes,USA,233
1116,Sporting-Kansas-City,USA,233
11134,Vancouver-Whitecaps,Canada,39
9293,Minnesota-United,USA,233
874,Go-Ahead-Eagles,Netherlands,155
870,Heracles,Netherlands,155
763,FC-Dordrecht,Netherlands,155
765,VVV-Venlo,Netherlands,155
210,Rotherham,England,252
910,Doncaster,England,252
922,Yeovil,England,252
215,Peterborough,England,252
186,Scunthorpe,England,252
212,Plymouth,England,252
195,Colchester,England,252
95,Luton,England,252
208,Southend,England,252
176,Crewe,England,252
191,Gillingham,England,252
173,Walsall,England,252
164,Grimsby,England,252
172,Stockport,England,252
141,Tranmere,England,252
159,Swindon,England,252
91,Port-Vale,England,252
9628,Crucero-del-Norte,Argentina,11
6146,All-Boys,Argentina,11
5595,San-Martin-de-Tucuman,Argentina,11
3403,Tiro-Federal-Rosario,Argentina,11
2688,Instituto,Argentina,11
9266,Huracan-Tres-Arroyos,Argentina,11
2946,CD-Chivas-USA,USA,233
6035,Montreal-Impact,Canada,39
6312,Vancouver-Whitecaps-FC,USA,233
1115,Miami-Fusion,USA,233
1112,Tampa-Bay-Mutiny,USA,233
